Team,Nationality,Position,Age,Potential,Name
CD Cobresal ,Chile,Mediocampista | Mediocampista Ofensivo,27,Bueno,Franco Ragusa
Fußballclub Viktoria Köln 1904 e.V. ,Germany,Arquero,29,Bueno,Sebastian Patzler
Adelaide United ,Australia,Mediocampista | Mediocampista Ofensivo,24,Bueno,Stefan Mauk
SC Preußen Münster ,Germany,Defensor Central,27,Bueno,Simon Scherder
TSV 1860 München ,Germany,Defensor Central | Mediocampista Defensivo,28,Bueno,Aaron Berzel
Ipswich Town ,St Lucia,Lateral Derecho | Lateral Izquierdo,26,Bueno,Janoi Donacien
Luton Town ,Montserrat,Lateral Derecho | Defensor Central,26,Bueno,Donervon Daniels
Wellington Phoenix ,New Zealand,Lateral Derecho,26,Bueno,Tim Payne
Mansfield Town ,England,Lateral Izquierdo | Carrilero Izquierdo | Extremo Izquierdo,26,Bueno,Malvind Benning
Exeter City ,Republic of Ireland,Lateral Derecho | Defensor Central,25,Bueno,Pierce Sweeney
FC Seoul ,Korea Republic,Defensor Central | Mediocampista Defensivo | Mediocampista,28,Bueno,Kim Won Sik
Chemnitzer FC ,Germany,Defensor Central,28,Bueno,Clemens Schoppenhauer
Grenoble Foot 38 ,Senegal,Arquero,27,Bueno,Papa Demba Camara
Houston Dynamo ,United States,Arquero,27,Bueno,Cody Cropper
Mansfield Town ,England,Delantero Centro,26,Bueno,Danny Rose
Oldham Athletic ,Congo,Mediocampista Defensivo | Mediocampista,28,Bueno,Christopher Missilou
Portsmouth ,England,Defensor Central,28,Bueno,Paul Downing
AFC Eskilstuna ,Sweden,Arquero,30,Bueno,Ole Söderberg
Central Coast Mariners ,Australia,Arquero,29,Bueno,Mark Birighitti
MKE Ankaragücü ,Serbia,Mediocampista Defensivo,26,Bueno,Miloš Stanojevic
Cusco Fútbol Club ,Peru,Lateral Derecho,24,Bueno,Jorge Toledo
Liverpool Fútbol Club ,Uruguay,Defensor Central,27,Bueno,Maximiliano Pereira
Club River Plate Asunción ,Paraguay,Lateral Izquierdo,26,Bueno,Carlos Montiel
Llaneros Escuela de Fútbol ,Venezuela,Mediocampista Ofensivo | Extremo Izquierdo,26,Bueno,Yonaiker Reyes
Zaglebie Lubin ,Slovenia,Delantero Centro,26,Bueno,Rok Sirk
Fotbal Club Politehnica Ia?i ,Romania,Mediocampista Izquierdo,25,Bueno,Doru Popadiuc
Hallescher FC ,Germany,Mediocampista Izquierdo | Mediocampista | Mediocampista Ofensivo,25,Bueno,Felix Drinkuth
Portland Timbers ,Slovenia,Arquero,26,Bueno,Aljaz Ivacic
Oldham Athletic ,France,Mediocampista Defensivo | Mediocampista,26,Bueno,Mohamed Sylla
Club Deportivo Jorge Wilstermann ,Bolivia,Mediocampista Izquierdo | Mediocampista | Extremo Izquierdo,25,Bueno,Paul Arano
CD Universidad de Concepción ,Chile,Delantero Centro,26,Bueno,Steffan Pino
Esbjerg fB ,Ukraine,Delantero Centro,26,Bueno,Yuriy Yakovenko
RKC Waalwijk ,Netherlands,Lateral Izquierdo | Defensor Central,25,Bueno,Lars Nieuwpoort
Shimizu S-Pulse ,Japan,Lateral Izquierdo | Mediocampista Izquierdo | Mediocampista Ofensivo,25,Bueno,Hideki Ishige
IK Sirius ,Sweden,Mediocampista Derecho | Mediocampista Izquierdo,25,Bueno,Adam Ståhl
Esbjerg fB ,Finland,Extremo Derecho | Extremo Izquierdo,25,Bueno,Pyry Soiri
LKS Lódz ,Spain,Defensor Central,27,Bueno,Carlos Gracia
SV Meppen ,Germany,Mediocampista Derecho,25,Bueno,René Guder
SC Preußen Münster ,Germany,Delantero Centro | Mediocampista Izquierdo | Extremo Derecho,26,Bueno,Luca Schnellbacher
SSV Jahn Regensburg ,Germany,Delantero Centro,26,Bueno,Jan-Marc Schneider
Cerezo Osaka ,Japan,Delantero Centro,26,Bueno,Ryuji Sawakami
Atlético Bucaramanga ,Colombia,Lateral Derecho | Mediocampista Defensivo,26,Bueno,Nicolás Roa
FC St. Pauli ,Korea Republic,Lateral Derecho | Lateral Izquierdo | Mediocampista Defensivo,26,Bueno,Park Yi-Young
Newport County ,England,Delantero Centro | Mediocampista Derecho,25,Bueno,Jordan Green
New York City FC ,Belize,Lateral Izquierdo | Mediocampista Defensivo | Mediocampista,26,Bueno,Tony Rocha
MSV Duisburg ,Germany,Mediocampista Defensivo | Mediocampista,27,Bueno,Maximilian Jansen
Sagan Tosu ,Japan,Delantero Centro | Mediocampista Izquierdo,26,Bueno,Takeshi Kanamori
Wuhan Zall Professional FC ,China PR,Defensor Central,27,Bueno,Han Pengfei
Club Bolívar ,Bolivia,Lateral Izquierdo | Mediocampista Izquierdo,26,Bueno,Enrique Flores
SV Sandhausen ,Germany,Arquero,26,Bueno,Rick Wulle
GIF Sundsvall ,Norway,Mediocampista | Mediapunta,26,Bueno,Oliver Berg
Adelaide United ,Curacao,Lateral Izquierdo | Mediocampista,25,Bueno,Michaël Maria
Pohang Steelers ,Korea Republic,Defensor Central,27,Bueno,Jeon Min Gwang
Sint-Truidense VV ,Haiti,Delantero Centro,26,Bueno,Duckens Nazon
Patriotas Boyacá FC ,Colombia,Delantero Centro,25,Bueno,David Castañeda
Western Sydney Wanderers ,Australia,Carrilero Derecho | Mediocampista Derecho | Extremo Derecho,25,Bueno,Bruce Kamau
Mansfield Town ,England,Delantero Centro | Carrilero Izquierdo | Mediocampista Izquierdo | Extremo Izquierdo,25,Bueno,CJ Hamilton
Swindon Town ,Australia,Mediocampista Defensivo | Mediocampista,24,Bueno,Jordan Lyden
Central Coast Mariners ,Scotland,Lateral Derecho | Defensor Central,27,Bueno,Ziggy Gordon
Incheon United FC ,Korea Republic,Arquero,25,Bueno,Lee Tae Hee
Sangju Sangmu FC ,Korea Republic,Defensor Central,27,Bueno,Kim Dae Jung
La Equidad ,Colombia,Lateral Izquierdo | Mediocampista Izquierdo,26,Bueno,Amaury Torralvo
Henan Jianye FC ,China PR,Delantero Centro | Defensor Central,27,Bueno,Chen Hao
Fotbal Club Politehnica Ia?i ,Cape Verde,Lateral Derecho | Defensor Central,25,Bueno,Rodny Cabral
Al Hazem ,Saudi Arabia,Lateral Izquierdo | Defensor Central,26,Bueno,Abdullah Haif Al Shammari
RKC Waalwijk ,Netherlands,Defensor Central,26,Bueno,Ingo van Weert
Doncaster Rovers ,England,Lateral Derecho,25,Bueno,Bradley Halliday
Coventry City ,England,Delantero Centro | Mediocampista Izquierdo | Extremo Izquierdo,25,Bueno,Jordy Hiwula
Heracles Almelo ,Netherlands,Arquero,27,Bueno,Michael Brouwer
FC Carl Zeiss Jena ,Germany,Lateral Izquierdo | Mediocampista Izquierdo,25,Bueno,Patrick Schorr
CD Everton de Viña del Mar ,Chile,Lateral Derecho | Defensor Central,26,Bueno,Bastián San Juan
Bolton Wanderers ,England,Lateral Izquierdo | Carrilero Izquierdo | Extremo Izquierdo,26,Bueno,Joe Bunney
Tranmere Rovers ,England,Delantero Centro,25,Bueno,Morgan Ferrier
Wisla Plock ,Poland,Delantero Centro,24,Bueno,Karol Angielski
St. Patrick's Athletic ,Scotland,Mediocampista Derecho | Mediocampista Izquierdo,26,Bueno,Billy King
Swindon Town ,England,Mediocampista,25,Bueno,Matt Palmer
Tromsø IL ,Norway,Carrilero Izquierdo | Mediocampista Izquierdo | Extremo Izquierdo,25,Bueno,Lasse Nilsen
Kalmar FF ,Brazil,Mediocampista,26,Bueno,Rafinha
FC Emmen ,Netherlands,Mediocampista Izquierdo | Mediocampista Ofensivo,25,Bueno,Wouter Marinus
FC Emmen ,Netherlands,Arquero,27,Bueno,Stefan van der Lei
Bradford City ,Wales,Lateral Derecho | Lateral Izquierdo,26,Bueno,Adam Henley
Ross County FC ,Scotland,Delantero Centro,26,Bueno,Lee Erwin
IFK Göteborg ,Sweden,Mediocampista,26,Bueno,Amin Affane
Bradford City ,England,Mediocampista,27,Bueno,Jake Reeves
Sunderland ,England,Arquero,27,Bueno,Lee Burge
Scunthorpe United ,South Africa,Lateral Izquierdo | Defensor Central,26,Bueno,Kgosi Ntlhe
Lillestrøm SK ,Norway,Lateral Derecho,26,Bueno,Mats Haakenstad
Hammarby IF ,Sweden,Arquero,27,Bueno,Davor Blazevic
Dundalk ,Republic of Ireland,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,26,Bueno,Sean Murray
Crewe Alexandra ,Norway,Delantero Centro,27,Bueno,Chuma Anene
Milton Keynes Dons ,England,Carrilero Derecho | Defensor Central | Extremo Derecho,27,Bueno,George Williams
Sarpsborg 08 FF ,Norway,Arquero,28,Bueno,Aslak Falch
Llaneros Escuela de Fútbol ,Venezuela,Lateral Derecho | Mediocampista Derecho,24,Bueno,Manuel Fuentes
Tiburones Rojos de Veracruz ,Mexico,Delantero Centro,25,Bueno,Diego Aaron Pámanes
Club Deportivo El Nacional ,Ecuador,Lateral Izquierdo,22,Bueno,José Monaga
Deportivo Binacional ,Peru,Lateral Derecho,24,Bueno,Diego Angles
Estudiantes de Mérida ,Venezuela,Mediocampista Derecho | Mediocampista | Mediocampista Ofensivo,25,Bueno,Ayrton Páez
Crawley Town ,England,Defensor Central,26,Bueno,Jordan Tunnicliffe
Cúcuta Deportivo ,Colombia,Mediocampista Defensivo,26,Bueno,Yeison Carabali
AFC Chindia Târgovi?te ,Romania,Defensor Central,24,Bueno,Andrei Pi?ian
Tromsø IL ,Norway,Defensor Central,26,Bueno,Anders Jenssen
Molde FK ,Norway,Defensor Central | Mediocampista Defensivo,26,Bueno,Fredrik Sjølstad
FC Admira Wacker Mödling ,Ghana,Delantero Centro | Mediocampista Izquierdo,24,Bueno,Seth Paintsil
Southend United ,England,Mediocampista Derecho | Mediocampista Izquierdo,24,Bueno,Sam Barratt
Seattle Sounders FC ,United States,Arquero,26,Bueno,Stefan Cleveland
Jeju United FC ,Korea Republic,Delantero Centro | Carrilero Derecho | Mediocampista Derecho | Extremo Derecho,24,Bueno,Lee Eun Beom
Newport County ,England,Defensor Central,24,Bueno,Kyle Howkins
Club Necaxa ,Mexico,Delantero Centro | Mediocampista Izquierdo | Mediocampista Ofensivo,25,Bueno,Diego Chávez
Derry City ,Republic of Ireland,Lateral Derecho,26,Bueno,Colm Horgan
Newport County ,Wales,Arquero,25,Bueno,Tom King
SønderjyskE ,Denmark,Lateral Derecho | Lateral Izquierdo,24,Bueno,Jeppe Simonsen
Valenciennes FC ,Ivory Coast,Arquero,25,Bueno,Hillel Konaté
Cambridge United ,England,Mediocampista Izquierdo | Mediocampista,24,Bueno,George Maris
Kilmarnock ,Scotland,Lateral Izquierdo,25,Bueno,Stephen Hendrie
Club River Plate Asunción ,Argentina,Mediocampista,25,Bueno,Emiliano Agüero
AS Nancy Lorraine ,France,Mediocampista Defensivo | Mediocampista,26,Bueno,Grégoire Lefebvre
Free Agents ,New Zealand,Mediocampista Defensivo | Mediocampista,24,Bueno,Matthew Ridenton
Wellington Phoenix ,New Zealand,Mediocampista Defensivo | Mediocampista,24,Bueno,Alex Rufer
Cheltenham Town ,Republic of Ireland,Carrilero Derecho | Lateral Derecho | Extremo Derecho,25,Bueno,Sean Long
Universidad de Chile ,Chile,Arquero,24,Bueno,Nelson Espinoza
Chemnitzer FC ,Germany,Lateral Derecho | Lateral Izquierdo | Carrilero Izquierdo | Extremo Izquierdo,25,Bueno,Paul Milde
KSV Cercle Brugge ,Belgium,Arquero,26,Bueno,Miguel Van Damme
Unión Española ,Chile,Defensor Central,26,Bueno,Nicolás Mancilla
Deportes Tolima ,Colombia,Arquero,27,Bueno,William Cuesta
Mansfield Town ,England,Carrilero Derecho | Lateral Derecho | Defensor Central | Extremo Derecho,25,Bueno,Hayden White
Lyngby BK ,Denmark,Lateral Izquierdo | Carrilero Izquierdo | Extremo Izquierdo,25,Bueno,Patrick Da Silva
Stabæk Fotball ,Japan,Delantero Centro,25,Bueno,Kosuke Kinoshita
Zamora Fútbol Club ,Venezuela,Delantero Centro,26,Bueno,Manuel Arteaga
Tigres U.A.N.L. ,Mexico,Arquero,27,Bueno,Eduardo Fernández
Barcelona Guayaquil ,Ecuador,Mediocampista Defensivo,25,Bueno,Éder Cetré
Sport Huancayo ,Peru,Mediocampista Derecho,22,Bueno,Carlos Jimémez
Club Sportivo Luqueño ,Paraguay,Mediocampista,22,Bueno,Ariel Shuartzman
Club Deportivo Jorge Wilstermann ,Bolivia,Defensor Central,23,Bueno,Sebastian Reyes
Club Sportivo Luqueño ,Paraguay,Defensor Central,23,Bueno,Anibal Gómez
Club Atlético Grau ,Peru,Defensor Central,25,Bueno,Maelo Reátegui
Kasimpasa SK ,Czech Republic,Defensor Central,26,Bueno,Tomáš Brecka
Zamora Fútbol Club ,Venezuela,Mediocampista Defensivo,25,Bueno,Romeri Villamizar
Llaneros Escuela de Fútbol ,Venezuela,Mediocampista Derecho | Extremo Derecho | Extremo Izquierdo,25,Bueno,Jhony Rodríguez
Club Atlético Grau ,Peru,Lateral Izquierdo,21,Bueno,Roberto Céspedes
Club Bolívar ,Bolivia,Extremo Derecho | Extremo Izquierdo,21,Bueno,Erick Cano
Extremadura UD ,Greece,Lateral Derecho | Lateral Izquierdo | Defensor Central,24,Bueno,Charalambos Stamboulidis
Le Mans FC ,France,Lateral Derecho | Lateral Izquierdo,24,Bueno,Tom Duponchelle
Asocia?ia Fotbal Club Hermannstadt ,Romania,Defensor Central,25,Bueno,Alin Dobrosavlevici
Hammarby IF ,Brazil,Lateral Izquierdo,25,Bueno,Jean Carlos
Real Salt Lake ,United States,Arquero,25,Bueno,Andrew Putna
CD Lugo ,Spain,Mediocampista Defensivo | Mediocampista,25,Bueno,Luis Díaz
Trapani ,Poland,Delantero Centro,25,Bueno,Filip Piszczek
Al Faisaly ,Saudi Arabia,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,25,Bueno,Hussain Al Qahtani
FC Carl Zeiss Jena ,Germany,Lateral Izquierdo | Mediocampista Derecho,24,Bueno,Raphael Obermair
Yokohama F·Marinos ,Japan,Lateral Izquierdo | Carrilero Izquierdo | Extremo Izquierdo,25,Bueno,Ryo Takano
Newcastle Jets ,Australia,Lateral Derecho | Lateral Izquierdo,22,Bueno,Johnny Koutroumbis
Cittadella ,Italy,Delantero Centro,25,Bueno,Michael De Marchi
Atlético Nacional ,Colombia,Arquero,26,Bueno,Aldair Quintana
Jeju United FC ,Korea Republic,Defensor Central,27,Bueno,Im Dong Hyuk
LASK Linz ,Korea Republic,Extremo Izquierdo,23,Bueno,Oh In-Pyo
Matsumoto Yamaga F.C. ,Japan,Mediocampista Izquierdo | Mediocampista | Mediapunta,24,Bueno,Taro Sugimoto
Nagoya Grampus ,Japan,Mediocampista Derecho | Mediocampista Izquierdo,24,Bueno,Ryota Aoki
FC Würzburger Kickers ,Netherlands,Arquero,26,Bueno,Eric Verstappen
TSV Hartberg ,Austria,Arquero,24,Bueno,Raphael Sallinger
Rionegro Águilas ,Colombia,Mediocampista Defensivo | Mediocampista,26,Bueno,David Contreras
Henan Jianye FC ,China PR,Mediocampista Izquierdo | Mediocampista,25,Bueno,Zhong Jinbao
Dalian YiFang FC ,China PR,Mediocampista Derecho | Extremo Derecho,24,Bueno,Wang Jinxian
FC Thun ,Palestine,Delantero Centro,25,Bueno,Saleh Chihadeh
Granada CF ,Spain,Defensor Central,25,Bueno,Fran Serrano
St. Patrick's Athletic ,Republic of Ireland,Lateral Izquierdo,25,Bueno,Shane Griffin
Plymouth Argyle ,Wales,Defensor Central,26,Bueno,Will Aimson
Oldham Athletic ,England,Delantero Centro,25,Bueno,Emmanuel Dieseruvwe
Fußballclub Viktoria Köln 1904 e.V. ,Jamaica,Delantero Centro,24,Bueno,Michael Seaton
Crawley Town ,Northern Ireland,Defensor Central,26,Bueno,Jamie Sendles-White
Exeter City ,England,Arquero,26,Bueno,Jonny Maxted
Puebla ,Mexico,Arquero,27,Bueno,Iván Rodríguez
Barcelona Guayaquil ,Ecuador,Arquero,22,Bueno,Álvaro Preciado
Club Plaza de Deportes Colonia ,Uruguay,Lateral Izquierdo,22,Bueno,Fabián Píriz
HJK Helsinki ,Finland,Defensor Central,25,Bueno,Miro Tenho
Delfín Sporting Club ,Ecuador,Extremo Izquierdo,23,Bueno,Segundo Portocarrero
Club Atlético River Plate ,Uruguay,Mediocampista,24,Bueno,Facundo Ospitaleche
FBC Melgar ,Peru,Mediocampista Izquierdo | Extremo Derecho,21,Bueno,Michel Rasmussen
Caracas Fútbol Club ,Venezuela,Delantero Centro | Extremo Derecho,24,Bueno,Rodrigo Febres
Club Atlético Central Córdoba ,Argentina,Defensor Central,23,Bueno,Francisco Manenti
Bury ,England,Mediocampista Izquierdo | Mediocampista,24,Bueno,Gus Ushler
Orlando Pirates ,Zambia,Extremo Derecho,23,Bueno,Austin Muwowo
Amiens SC ,France,Delantero Centro,19,Bueno,Darell Tokpa
Silkeborg IF ,Denmark,Mediocampista Derecho,23,Bueno,Nicolai Vallys
Peterborough United ,England,Lateral Izquierdo,24,Bueno,Frazer Blake-Tracy
Chicago Fire Soccer Club ,United States,Lateral Izquierdo,22,Bueno,Jeremiah Gutjahr
Mjøndalen IF ,Norway,Delantero Centro | Mediocampista Izquierdo,22,Bueno,Sondre Liseth
Jiangsu Suning FC ,China PR,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Izquierdo,23,Bueno,Zhang Lingfeng
IF Elfsborg ,Sweden,Extremo Izquierdo,24,Bueno,Rasmus Alm
Vissel Kobe ,Japan,Arquero,24,Bueno,Kenshin Yoshimaru
Gimnasia y Esgrima La Plata ,Argentina,Mediocampista Defensivo | Mediocampista,24,Bueno,Agustín Bolivar
SG Sonnenhof Großaspach ,Kosovo,Lateral Derecho | Mediocampista Defensivo | Mediocampista,24,Bueno,Kamer Krasniqi
1. FC Kaiserslautern ,Germany,Arquero,25,Bueno,Jan-Ole Sievers
Carlisle United ,England,Delantero Centro,22,Bueno,Olufela Olomola
Sangju Sangmu FC ,Korea Republic,Mediocampista Derecho,24,Bueno,Park Se Jin
FC Carl Zeiss Jena ,Germany,Lateral Izquierdo | Mediocampista Izquierdo,24,Bueno,Pierre Fassnacht
St. Patrick's Athletic ,Republic of Ireland,Mediocampista | Mediocampista Ofensivo,23,Bueno,Darragh Markey
Coquimbo Unido ,Argentina,Mediocampista Derecho,24,Bueno,Alejandro Melo
Silkeborg IF ,Slovakia,Mediocampista Defensivo | Mediocampista,24,Bueno,Filip Lesniak
Beijing Sinobo Guoan FC ,China PR,Mediapunta | Extremo Derecho,24,Bueno,Ba Dun
Walsall ,England,Mediocampista Ofensivo,24,Bueno,James Hardy
Wolfsberger AC ,Austria,Arquero,23,Bueno,Marko Soldo
Jagiellonia Bialystok ,North Macedonia,Arquero,25,Bueno,Deyan Iliev
Toronto FC ,Nigeria,Extremo Derecho | Extremo Izquierdo,22,Bueno,Ifunayachi Achara
C.D. Universidad Católica del Ecuador ,Ecuador,Mediocampista Derecho,21,Bueno,Carlos Peralta
Patriotas Boyacá FC ,Colombia,Mediocampista,24,Bueno,Santiago Orozco
Coquimbo Unido ,Chile,Mediocampista,24,Bueno,Jorge Gática
Club Sportivo Luqueño ,Paraguay,Lateral Derecho,22,Bueno,Juan Miguel Ojeda
Amiens SC ,France,Mediocampista Defensivo | Mediocampista,21,Bueno,Jonathan Bumbu
Cúcuta Deportivo ,Colombia,Mediocampista Derecho | Mediocampista Izquierdo,23,Bueno,Christian Mina
Fotbal Club Boto?ani ,Belgium,Mediocampista Ofensivo,24,Bueno,Alessio Carlone
Ettifaq FC ,Saudi Arabia,Delantero Centro,24,Bueno,Maher Mohammed
Servette FC ,Switzerland,Mediocampista Defensivo | Mediocampista,25,Bueno,Boris Cespedes
Curicó Unido ,Chile,Lateral Derecho | Lateral Izquierdo,23,Bueno,Jens Buss
Mjøndalen IF ,Norway,Lateral Derecho | Mediocampista Derecho,23,Bueno,Alexander B. Hansen
SG Sonnenhof Großaspach ,Germany,Lateral Derecho | Mediocampista Derecho,22,Bueno,Niklas Sommer
Valenciennes FC ,France,Mediocampista Defensivo,24,Bueno,Mahame Siby
GIF Sundsvall ,Spain,Defensor Central,26,Bueno,Pol Moreno
Jaguares Fútbol Club ,Colombia,Lateral Izquierdo,21,Bueno,Juan Silgado
Zaglebie Lubin ,Poland,Delantero Centro,22,Bueno,Olaf Nowak
Daegu FC ,Korea Republic,Defensor Central,24,Bueno,Kim Tae Han
FC Lorient ,France,Arquero,24,Bueno,Maxime Pattier
Fleetwood Town ,England,Mediocampista,24,Bueno,Harrison Biggins
Ranheim Fotball ,Norway,Arquero,24,Bueno,Magnus Lenes
Al Fayha ,Saudi Arabia,Lateral Izquierdo | Mediocampista Izquierdo,24,Bueno,Ahmed Ba Masoud
Waterford FC ,England,Lateral Derecho | Defensor Central | Mediocampista Defensivo,21,Bueno,Sam Bone
Ettifaq FC ,Saudi Arabia,Lateral Derecho | Defensor Central,25,Bueno,Saad Al Khayri
D.C. United ,United States,Lateral Derecho | Lateral Izquierdo,25,Bueno,Chris Odoi-Atsem
Bohemian FC ,Republic of Ireland,Mediocampista Defensivo,22,Bueno,Conor Levingston
Al Ittihad ,Saudi Arabia,Lateral Derecho | Lateral Izquierdo | Mediocampista Defensivo,24,Bueno,Tareq Abdullah
Alianza Petrolera ,Colombia,Mediocampista Izquierdo,22,Bueno,Andrés Sarmiento
FC Emmen ,Netherlands,Mediocampista Defensivo | Mediocampista,24,Bueno,Robbert de Vos
Newcastle United ,England,Lateral Derecho,24,Bueno,Jamie Sterry
Stevenage ,England,Mediocampista Izquierdo | Mediocampista Ofensivo | Extremo Derecho,24,Bueno,Emmanuel Sonupé
Kayserispor ,Turkey,Defensor Central,25,Bueno,Mert Kula
Carlisle United ,England,Lateral Izquierdo,24,Bueno,Nick Anderton
Liverpool Fútbol Club ,Uruguay,Delantero Centro,21,Bueno,Ezequiel Escobar
Sport Huancayo ,Peru,Defensor Central,21,Bueno,Rodrigo Menacho
Llaneros Escuela de Fútbol ,Colombia,Mediocampista Defensivo | Mediocampista,21,Bueno,Pablo Caro
Club Atlético Nacional Potosí ,Bolivia,Delantero Centro,19,Bueno,Mauricio Cabral
Huachipato FC ,Ecuador,Delantero Centro | Extremo Derecho | Extremo Izquierdo,23,Bueno,Joffré Escobar
Jaguares Fútbol Club ,Uruguay,Defensor Central,22,Bueno,Emanuel Hernández
Club Deportivo El Nacional ,Ecuador,Lateral Izquierdo | Defensor Central,20,Bueno,Sixto Mina
Aragua Fútbol Club ,Venezuela,Lateral Izquierdo,21,Bueno,Róger Manrique
Aragua Fútbol Club ,Venezuela,Defensor Central,21,Bueno,Manuel Trías
Club Libertad ,Paraguay,Mediocampista Derecho,23,Bueno,Rodrigo Bogarín
Al Raed ,Saudi Arabia,Lateral Derecho,21,Bueno,Mohammed Al Dawsari
RB Leipzig ,Germany,Defensor Central,19,Bueno,Anton Rücker
RB Leipzig ,Germany,Mediocampista Izquierdo,19,Bueno,Jacob Ruhner
SSV Jahn Regensburg ,Germany,Lateral Derecho | Mediocampista Derecho,23,Bueno,Florian Heister
Damac FC ,Saudi Arabia,Mediocampista Izquierdo | Mediocampista Ofensivo,23,Bueno,Ayman Al Hejaili
Stevenage ,England,Mediocampista,23,Bueno,Charlie Carter
Millonarios FC ,Colombia,Delantero Centro,23,Bueno,Jorge Rengifo
AFC Eskilstuna ,Sweden,Mediocampista Defensivo | Mediocampista,22,Bueno,Wilhelm Loeper
Impact Montréal ,Germany,Mediocampista | Mediocampista Ofensivo,23,Bueno,Amar Sejdic
Al Ahli ,Saudi Arabia,Mediocampista Defensivo,23,Bueno,Yousef Al Harbi
Rionegro Águilas ,Colombia,Mediocampista Ofensivo,23,Bueno,Jesús David Rivas
Karlsruher SC ,Germany,Mediocampista Defensivo | Mediocampista,21,Bueno,Janis Hanek
New York Red Bulls ,United States,Mediocampista Izquierdo | Mediocampista | Mediocampista Ofensivo,24,Bueno,Jared Stroud
Grimsby Town ,Jamaica,Delantero Centro | Extremo Izquierdo,21,Bueno,Ahkeem Rose
Gimnasia y Esgrima La Plata ,Argentina,Arquero,25,Bueno,Nelson Insfrán
Carlisle United ,England,Delantero Centro | Extremo Derecho | Extremo Izquierdo,24,Bueno,Omari Patrick
Finn Harps ,Republic of Ireland,Defensor Central,22,Bueno,Sam Todd
